;0
0;0
0,218330688;0,856448618
1,268043484;4,909508339
2,317620169;8,774566856
3,366949342;12,42607299
4,416021734;15,87569619
5,465003955;19,14398744
6,513949252;22,2546579
7,562874741;25,22771012
8,611840882;28,07991733
9,660789417;30,82705363
10,70971762;33,47997485
11,75859887;36,04826559
12,80740109;38,53994434
13,85608794;40,96182282
14,90461964;43,31978407
15,95307281;45,61428065
17,00125011;47,8566801
18,04917929;50,0482556
19,09682511;52,19267044
20,14418308;54,29323537
21,19127546;56,35271183
22,23812386;58,3727503
23,28474602;60,35280998
24,33116448;62,28818716
25,37755968;64,31666339
26,42348489;66,17207662
27,46954472;67,98840679
28,51540575;69,84898007
29,56128786;71,69851519
30,6069858;73,50067267
31,6527274;75,32521744
32,69837653;77,14351718
33,74395391;78,95522986
34,78945646;80,76098261
35,83495956;82,44266874
36,88039611;84,22298922
37,92577097;86,00596598
38,97107592;87,79585457
40,01629827;89,59661425
41,06141998;91,41332968
42,10641556;93,24790446
43,15126004;95,06640656
44,19591413;96,93079384
45,24026869;98,81976497
